installation_id,last_acc_group
554fc65a,2.0
76ed11ab,0.0
8123bc13,3.0
9e84f5ae,1.0
8182dff8,1.0
f10d8174,3.0
ae736714,3.0
554e670c,0.0
238c9dd2,2.0
d037d18e,0.0
b5aab463,2.0
3d08a609,0.0
50373520,1.0
17d6833a,0.0
f90e8b6e,1.0
55baa820,0.0
e18fce2c,1.0
88426d60,0.0
af6786f7,2.0
c658a11d,0.0
2adc00e9,3.0
8ef357ec,3.0
375690fc,3.0
9f0b2bdf,3.0
b9a85e97,0.0
aef2232d,3.0
dfe092dd,3.0
a5af7b49,1.0
51eaac51,0.0
07ae5a97,3.0
90db3a9f,3.0
cca4ffea,2.0
bca67a14,3.0
df5ead89,3.0
2c3c414b,2.0
19f0ad61,3.0
901ecfe3,3.0
31995662,1.0
f3e09002,3.0
260f7e45,3.0
f80821d2,3.0
063e3e02,0.0
792f1634,0.0
7a119e52,3.0
52b1bda7,3.0
040dbdbe,2.0
50a5f350,0.0
c9a2f090,3.0
44e93571,2.0
ca58d659,1.0
4615ab1b,1.0
39f23d50,1.0
9d63e750,0.0
53f2bbfd,0.0
63b921fb,3.0
61ad389c,1.0
ca1c4dbf,2.0
b4373bbc,2.0
c970188e,0.0
7138535d,0.0
b48d99fb,3.0
f2a08d73,3.0
daa9bcd8,3.0
d465fd71,2.0
3bd55510,3.0
4a902aa8,3.0
9e403400,3.0
2c85420f,2.0
ec9a823d,3.0
f18a14c9,0.0
18706205,1.0
fc30ec02,0.0
4957364e,0.0
c75aedc2,1.0
fa205703,1.0
53b3875d,0.0
b9c0d4e6,0.0
550ea542,3.0
62ef3dd7,1.0
62a55766,0.0
76684810,0.0
43ffb8cf,3.0
6a6d7e24,3.0
1f4be402,3.0
ac423bfa,1.0
2938c185,0.0
7fe23da5,1.0
42f03245,3.0
eb96dfca,0.0
b3343829,3.0
2f2ab766,3.0
f9445a41,3.0
a8744969,2.0
c6dbed0c,1.0
54eab980,3.0
6b8eab74,0.0
19d4b097,3.0
bb617bfb,0.0
e0ca53a5,0.0
f8df6c81,3.0
753857a5,3.0
abf8ac96,3.0
aa68cb79,3.0
aa38f420,0.0
60b6b084,2.0
90fa0186,3.0
2db1403f,3.0
1d990a85,3.0
9d8525ba,0.0
b4e8876a,3.0
c8ec52c1,1.0
eeac9a73,1.0
848f2806,3.0
91cafce7,2.0
56905cfa,3.0
0f47f086,0.0
1435f85e,0.0
1a5ec009,3.0
35cff99d,3.0
c4144758,3.0
77d93ad5,1.0
eed88942,3.0
6d7c3893,2.0
2df817bf,3.0
ad48acee,2.0
3f0f2fed,0.0
1192a921,3.0
e063a5d9,1.0
df18c892,3.0
51e81753,2.0
bbb84efa,3.0
83eb4389,3.0
79af68c1,3.0
f09a8269,3.0
19bf1284,2.0
88812720,3.0
846f6443,3.0
b600cb0b,0.0
3f1abed4,1.0
0e31fa8d,2.0
c0309d29,0.0
0429e1ff,2.0
0b2fe8e3,2.0
99e423f3,3.0
fbf57a7a,0.0
1ae140f6,3.0
23612836,1.0
c9ea90f9,1.0
1365c3d1,3.0
ee1f8244,0.0
8ae0c615,3.0
aca5d777,1.0
a5c1d52c,3.0
7153cb9b,3.0
1df9a1d0,3.0
d8497790,3.0
2e6c5ac7,3.0
13504def,3.0
18459039,3.0
772570fb,3.0
61d105aa,3.0
d17475d3,3.0
4aaf5a7c,2.0
129ae199,3.0
3f367311,2.0
30fec3ca,3.0
fb91172c,3.0
887ce1c0,3.0
dee47e04,3.0
c64f524d,1.0
ee393f35,3.0
de0a0baf,3.0
d267cde7,3.0
0e70dddc,2.0
628735ac,0.0
232e7bd4,2.0
89f474b6,2.0
50633b1a,0.0
46349192,3.0
42aedefa,3.0
8a28d2bd,0.0
47b4211a,3.0
48cb2879,2.0
501373e2,0.0
409a3480,2.0
e2847d33,1.0
b07bbc5f,1.0
03cd458d,3.0
db2ab253,3.0
9f7fca27,0.0
416398f8,2.0
027b3c4c,3.0
fc4ad96c,3.0
53083f20,3.0
cb761f5f,3.0
ad80a1df,3.0
8e852635,3.0
4d20ca97,3.0
ea40f8dc,3.0
30ad064c,0.0
eca4e454,1.0
bedfb902,3.0
73aec158,3.0
22c46c3a,1.0
0ec92788,0.0
29d1aaee,3.0
d76afe56,0.0
6dd06b16,1.0
51f0924c,3.0
d4ce137a,0.0
5e4099b2,1.0
922ddbd6,0.0
52d6de32,1.0
f6f67e3e,2.0
30f9645c,3.0
60283b63,2.0
4408d92a,3.0
edb85d92,3.0
c1947e4d,1.0
5cef8ee5,0.0
a767438e,0.0
c808c20b,0.0
14c0df75,1.0
dbab8519,3.0
16218a6d,3.0
7f012464,2.0
4ca5b732,2.0
5fa4925b,3.0
31701a28,3.0
f88ded11,0.0
7dcda0ea,0.0
d84dc580,1.0
24f229fb,3.0
6cc7ae2e,0.0
5cb7a81e,3.0
3c098a20,3.0
dfca2f03,1.0
f445fb81,1.0
0413ae4a,0.0
8ed93525,3.0
69a2ad34,1.0
99af1ce6,3.0
a04ef4b7,2.0
107e6f09,3.0
691d465a,3.0
dbe1cfbd,2.0
9a6db1b6,2.0
4401afb5,0.0
ffc90c32,3.0
6d8fe711,1.0
26ef4a4a,3.0
bb4e4459,3.0
6614d81c,3.0
3d9c468d,3.0
475b2709,0.0
b778258b,2.0
16b9aae1,3.0
f8c01999,0.0
28433ead,0.0
0fa644f7,0.0
30c18e53,1.0
bfb5f7d2,3.0
11bc89f6,3.0
e1821de7,1.0
685922d9,2.0
e55aee42,0.0
a89137ad,0.0
3838dfb8,1.0
15546c59,3.0
026035e9,0.0
ea3283ad,3.0
cc7f890b,2.0
6f7ffb2d,0.0
123a40a1,0.0
51809af5,2.0
074b4825,3.0
1968e1ac,3.0
905e9d66,3.0
ad0b68a6,3.0
1813c8a6,0.0
754ec05d,3.0
6231f60c,2.0
d792d001,3.0
ea4e6a5e,1.0
b73fee93,0.0
808a6e72,1.0
5f71e86a,1.0
95a90b82,3.0
124beffd,3.0
43ccecc0,3.0
96debc92,0.0
3ecb1ca7,1.0
80bfe6d0,0.0
6013f313,0.0
eef0820e,3.0
44a7ca78,0.0
450aaf12,3.0
29b12ea2,2.0
4f0f3d90,2.0
4f127057,3.0
7f8d0e15,1.0
68ad5f92,2.0
d51f3e95,3.0
906b1791,0.0
b7774f6e,0.0
d25338cb,0.0
81b1f135,3.0
4d54c694,3.0
8a411bf0,3.0
48d57f4a,3.0
7e9567aa,0.0
9bcb42c1,2.0
722676d4,3.0
8440941f,2.0
d34cf7b6,0.0
6fbc5ee2,0.0
d74e8d49,0.0
aa9baa1b,0.0
4d512d60,3.0
588786c9,0.0
ba7d6f0b,3.0
08eee52e,3.0
dbb42def,1.0
265bfa7d,3.0
515be301,3.0
5b2645e3,1.0
b704547e,0.0
8dfc9c07,3.0
d45efa48,3.0
f47c09c3,2.0
740a92a8,3.0
5fd00c8c,1.0
99c37647,1.0
8c347aaa,0.0
821a7afc,0.0
293b1825,0.0
2d6d1ecd,2.0
b5df0774,3.0
89c62e1e,3.0
9a970c94,0.0
a80ca8f7,3.0
84c277b4,3.0
4c53711a,0.0
2fef95e7,0.0
40894fa0,1.0
0d8cdec2,3.0
d9d97a45,0.0
9f40ab5f,1.0
9661ddd4,3.0
0f5b30fb,0.0
e45c15b6,0.0
b46880a8,3.0
396c8b53,0.0
436d5ed2,2.0
adf4241a,2.0
39e0ca0e,3.0
fe488283,1.0
40a1a6ea,0.0
322f7ea1,3.0
9d3eb33a,1.0
9d43df2c,0.0
953b0187,3.0
a517aa67,0.0
9c2db749,0.0
488141b8,2.0
af05a66b,3.0
fe4d880a,2.0
04a5927d,3.0
cdc51fe2,3.0
999951fc,0.0
06435d15,3.0
3738f1cd,0.0
1b25f68b,2.0
d03d6006,0.0
27f5fc57,0.0
c6f5e38c,3.0
96b02f25,2.0
29d667aa,3.0
45d94477,2.0
b8e96319,1.0
11052b00,3.0
1b4ff2dc,3.0
69f01f3f,0.0
4483cbc3,2.0
a59ec7a4,2.0
b480d272,3.0
bcf18b3e,3.0
0f35f808,2.0
2c8998a6,2.0
63da13db,0.0
377cee6e,2.0
04fbee62,0.0
c6819da6,1.0
47fc648c,3.0
24c2e756,1.0
6f680ab3,0.0
0478b042,3.0
98023c66,0.0
03f89040,2.0
32ee1b00,3.0
115c97cc,0.0
71ff0bf4,3.0
1c8fd41d,2.0
281f09d5,0.0
991e453e,3.0
a21ea2fd,0.0
a3865e2d,0.0
321fbc89,0.0
df7ba9aa,3.0
b7493efe,0.0
0a0b1178,0.0
503c1a79,3.0
5264c0d3,3.0
b882a64d,1.0
130a0090,2.0
2a6efccc,3.0
78c0f702,0.0
eb4a79a3,0.0
3b2b8f9b,2.0
9bb7ef44,3.0
d78e5be8,2.0
091d51e8,2.0
17d0baa0,3.0
4ba37cbb,0.0
5f251e6d,3.0
c7ec85d2,3.0
78fab071,1.0
a0697c4d,2.0
75e4e72b,0.0
31dad13d,1.0
99b13494,3.0
16a27f19,0.0
c3f596e5,3.0
976d0410,0.0
0fa2ac20,3.0
50c49551,3.0
18841c7f,0.0
dd0666c7,2.0
1e51428a,3.0
33e41b33,1.0
e3082d91,3.0
9a037ab5,0.0
83c0c067,3.0
69ec51b9,3.0
6b984505,3.0
2cb958cf,1.0
448ec0ef,3.0
975419a9,3.0
a2c3758a,0.0
882c832c,3.0
d8ac68c3,3.0
f726e95c,3.0
19f7f9ed,0.0
c32c1057,3.0
7bce51f4,3.0
8e1c28cd,3.0
5d7aec27,2.0
4af81c8e,3.0
c2003847,3.0
c00725b2,0.0
8badd2ee,0.0
ded5df29,1.0
7f286a4f,3.0
c997de55,3.0
9f37eeda,2.0
e7835bb3,1.0
50fbc866,3.0
bdaa5305,3.0
3d468987,3.0
072a25ac,0.0
7072eb19,3.0
183bed63,0.0
ab4ae74d,1.0
10b95d3e,3.0
1091d87b,1.0
f8bf28af,0.0
a564233c,3.0
e8d488e0,3.0
2c4f896e,3.0
246b6df7,2.0
7c21248e,3.0
b62c3943,0.0
9b6c5e60,3.0
04240fb1,3.0
fd6e3ad6,3.0
d62684c8,2.0
c0d042a1,0.0
27949ce8,0.0
59b27a13,1.0
02b1fab4,3.0
cde4f09d,0.0
71788224,3.0
30b2518d,1.0
0864d9a2,1.0
2e280a49,3.0
1390933c,2.0
db6503fa,3.0
4b8d46fb,0.0
55742a1e,0.0
9e46b8e6,3.0
ae3979a0,0.0
e887cac9,2.0
1cb7456d,1.0
ded5650c,3.0
e2d7188c,3.0
768dc66d,0.0
a057a188,3.0
f22c542f,1.0
fc32e3cc,3.0
b45571b4,0.0
7b504339,3.0
b19b170b,0.0
726f28e2,3.0
5a08c899,1.0
16a1c85a,3.0
b1fd1f0f,2.0
16e07456,2.0
89279aa4,0.0
d027ba5c,3.0
71b1a837,0.0
fab1f445,3.0
134597df,3.0
c3e96fd6,0.0
505c0a39,1.0
7e10699c,3.0
8289972e,3.0
c2442b9e,1.0
4c186844,0.0
cfaffd1d,3.0
00e536bf,3.0
5cd83c0a,0.0
7436b7b6,2.0
243d6bd3,3.0
fd242541,3.0
4111736b,3.0
f0ec68a7,3.0
54d91d26,3.0
0f2e23b4,0.0
6f7a3f08,3.0
7209c123,2.0
9de1a771,3.0
608e5654,1.0
b8d88afe,1.0
6523b94b,3.0
f2f89fa6,3.0
099a3ab8,3.0
4e14eba7,0.0
fc52a88f,0.0
e5379c20,3.0
6683eb87,0.0
25950822,3.0
2d0a6638,0.0
12b80194,0.0
63c5b475,2.0
b5cec608,3.0
e904fe7f,0.0
4161c7c6,2.0
659fdff8,0.0
7a7a8015,3.0
93c64617,2.0
c940e5e7,3.0
1c180647,1.0
9652dc9c,1.0
433d1096,0.0
8a8f5e6d,0.0
c6695e15,1.0
41d97a20,0.0
c74ba7f9,2.0
e7f87673,3.0
31170e6f,3.0
3dd5c65d,2.0
09a22787,3.0
e0e03cbf,3.0
af46ae35,3.0
c09a7f4a,3.0
52cbb26b,2.0
8bf753a0,2.0
97175e1e,3.0
25d3e9af,3.0
ca111dc8,3.0
df4e4a67,1.0
b7d83171,3.0
9c4f266e,3.0
9a10c83d,2.0
fb744280,0.0
077173b2,1.0
7821410b,2.0
cfd6a629,1.0
b91004f0,3.0
530baba5,1.0
6a7b1b7a,3.0
55ef8814,0.0
35e5b972,0.0
ca02657f,1.0
e4c57aab,0.0
f3e30847,0.0
127a663b,3.0
7dd184f3,3.0
5b884149,0.0
08987c08,0.0
b0a712c8,3.0
33431b63,2.0
d45dcd4f,1.0
2a7d0473,3.0
004c2091,0.0
424232fc,1.0
b57e4a95,1.0
bb52bd26,1.0
aaa7786c,0.0
108634a9,0.0
f77c6a10,0.0
803320c9,3.0
eb6ecf25,3.0
353848da,2.0
5db0c556,1.0
2b948865,0.0
0006a69f,3.0
957f0606,3.0
2fe3078d,3.0
5afef704,3.0
0b9df2fe,3.0
65e940b5,3.0
4123b28d,0.0
607a2264,1.0
44b6886a,0.0
e807f0e6,3.0
0cec1323,0.0
1eb5b4d7,3.0
9644f005,0.0
f3a4e67c,3.0
d3f3a66d,3.0
6d24ed40,1.0
55ed3f08,3.0
b0218219,3.0
28c61280,0.0
5fc2edda,1.0
9fdd2edc,2.0
4a13aa47,0.0
76375268,0.0
0b6d68e5,1.0
a5d8f127,1.0
611b6d0e,3.0
62d1d90b,0.0
